objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
346,False,1973.343.1,1973,True,https://images.metmuseum.org/CRDImages/ad/original/DP252573.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP252573.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP252574.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/201884.jpg']","[{'constituentID': 1151, 'role': 'Maker', 'name': 'Lyman, Fenton &amp; Co.', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Basin,Basin,American,,,,,Maker,,"Lyman, Fenton & Co.",1849–52,,"Lyman, Fenton and Company",American,1849,1849,,,,ca. 1849–58,1846,1858,Mottled brown earthenware,H. 4 3/8 in. (11.1 cm); Diam. 13 in. (33 cm),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Diameter': 33.0201, 'Height': 11.1125}}]","Gift of Jerome Gratenstein, 1973",Made in,Bennington,Vermont,,United States,New England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/346,,https://www.wikidata.org/wiki/Q116373461,False,774
347,False,43.162.37,1943,True,https://images.metmuseum.org/CRDImages/ad/original/132026.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/132026.jpg,[],"[{'constituentID': 1152, 'role': 'Maker', 'name': 'John Skinner', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Basin,Basin,American,,,,,Maker,,John Skinner,1733–1813,,"Skinner, John",American,1733,1813,,,,1756–85,1756,1785,Pewter,H. 2 in. (5.1 cm); Diam. 8 in. (20.3 cm),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Diameter': 20.32, 'Height': 5.08}}]","Gift of Joseph France, 1943",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/347,,https://www.wikidata.org/wiki/Q116373470,False,774
348,False,18.82.1,1918,True,https://images.metmuseum.org/CRDImages/ad/original/DP252557.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP252557.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP252558.jpg'],"[{'constituentID': 1153, 'role': 'Maker', 'name': 'United States Pottery Company', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Basin,Basin,American,,,,,Maker,,United States Pottery Company,1852–58,,United States Pottery Company,American,1852,1852,,,,ca. 1849–58,1846,1858,Mottled brown earthenware,H. 4 1/4 in. (10.8 cm); Diam. 13 1/2 in. (34.3 cm),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Diameter': 34.2901, 'Height': 10.795}}]","Gift of Mrs. Robert W. de Forest, 1918",Made in,Bennington,Vermont,,United States,New England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/348,,https://www.wikidata.org/wiki/Q116373472,False,774
349,False,14.102.132,1914,True,https://images.metmuseum.org/CRDImages/ad/original/24823.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/24823.jpg,[],,The American Wing,Basin,Basin,British (American market),,,,,,,,,,,,,,,,,ca. 1816–ca. 1830,1813,1833,"Earthenware, transfer-printed",Diam. 13 3/4 in. (34.9 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 34.9}}]","Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,,,Staffordshire,England,West Midlands,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/349,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}, {'term': 'Ships', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300082981', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q11446'}]",https://www.wikidata.org/wiki/Q116373462,False,774
350,False,1982.91.1,1982,True,https://images.metmuseum.org/CRDImages/ad/original/ADA5269.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/ADA5269.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/233522.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/233520.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/233521.jpg']",,The American Wing,Basin,Basin,British (American market),,,,,,,,,,,,,,,,,1857–90,1857,1890,Earthenware,H. 13 in. (33 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 33}}]","Friends of the American Wing Fund, 1982",Made in,,,Staffordshire,England,West Midlands,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/350,,https://www.wikidata.org/wiki/Q116373464,False,734
351,False,40.184.2,1940,True,https://images.metmuseum.org/CRDImages/ad/original/122849.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/122849.jpg,['https://images.metmuseum.org/CRDImages/ad/original/124763.jpg'],"[{'constituentID': 1154, 'role': 'Maker', 'name': 'Attributed to Joseph Leddel Sr.', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}, {'constituentID': 1155, 'role': 'Maker', 'name': 'Attributed to Joseph Leddel Jr.', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Basin,Basin,American,,,,,Maker,Attributed to,Joseph Leddel Sr.,ca. 1690–1754,,"Leddel, Sr. Joseph",American,1690,1754,,,,1712–54,1712,1754,Pewter,2 3/4 x 12 7/8 x 12 7/8 in. (7 x 32.7 x 32.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 32.7, 'Height': 7, 'Width': 32.7026}}]","Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/351,,https://www.wikidata.org/wiki/Q116373471,False,704
352,False,17.64.3,1917,True,https://images.metmuseum.org/CRDImages/ad/original/35730.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/35730.jpg,[],,The American Wing,Basin Stand,Basin Stand,American,,,,,,,,,,,,,,,,,1815–20,1815,1820,Mahogany,33 3/4 x 18 x 18 in. (85.7 x 45.7 x 45.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 45.7, 'Height': 85.7, 'Width': 45.7201}}]","Gift of William R. Stewart, 1917",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/352,,,False,
353,False,17.64.4,1917,True,https://images.metmuseum.org/CRDImages/ad/original/35728.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/35728.jpg,[],,The American Wing,Basin Stand,Basin Stand,American,,,,,,,,,,,,,,,,,1815–20,1815,1820,Mahogany,33 3/4 x 18 x 18 in. (85.7 x 45.7 x 45.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 45.7, 'Height': 85.7, 'Width': 45.7201}}]","Gift of William R. Stewart, 1917",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/353,,,False,
354,False,10.125.342,1910,True,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-007.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-16170-007.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP-16170-008.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP-16170-050.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/11529.jpg']","[{'constituentID': 1156, 'role': 'Maker', 'name': 'Attributed to William Hook', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500273735', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Basin stand,Basin stand,American,,,,,Maker,Attributed to,William Hook,1777–1867,,"Hook, William",American,1777,1867,,,http://vocab.getty.edu/page/ulan/500273735,1810–15,1810,1815,"Mahogany, mahogany veneer with white pine",41 1/2 x 22 x 16 in. (105.4 x 55.9 x 40.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 40.6, 'Height': 105.4, 'Width': 55.8801}}]","Gift of Mrs. Russell Sage, 1909",Made in,Salem,Massachusetts,,United States,New England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/354,,https://www.wikidata.org/wiki/Q116234881,False,729
355,False,11.60.155,1911,True,https://images.metmuseum.org/CRDImages/ad/original/10321.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/10321.jpg,[],"[{'constituentID': 1117, 'role': 'Maker', 'name': 'Attributed to the Workshop of Duncan Phyfe', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500082047', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q3041258', 'gender': ''}]",The American Wing,Basin Stand,Basin Stand,American,,,,,Maker,Attributed to the Workshop of,Duncan Phyfe,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York",,"Phyfe, Duncan","American, born Scotland",1770,1854,,https://www.wikidata.org/wiki/Q3041258,http://vocab.getty.edu/page/ulan/500082047,1810–20,1810,1820,"Mahogany, white pine, tulip poplar",26 x 19 x 19 in. (66 x 48.3 x 48.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 48.2601, 'Height': 66, 'Width': 48.3}}]","Bequest of Maria P. James, 1910",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2024-10-08T04:54:04.193Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/355,,https://www.wikidata.org/wiki/Q116390248,False,774
