Rank;Date_of_birth;Nationality;Weight;Height;PCS_points;One_day_races;GC;Time_trial;Sprint;Climber;Hills
1;21st September 1998 ;Slovenia;6;1.76;4588;6552;6594;2623;227;8133;3410
2;25th January 2000 ;Belgium;1;1.71;2889;3084;3994;3845;120;3874;1276
3;24th August 1998 ;Switzerland;1;1.74;2041;4920;1431;334;75;2124;2224
4;2nd March 1998 ;Belgium;5;1.76;2355;4862;574;154;5544;185;2358
5;19th January 1995 ;Netherlands;5;1.84;1612;7341;1124;968;1672;1072;3268
6;2nd April 2000 ;Eritrea;0;1.84;1666;2732;78;112;1170;238;1852
7;1st October 2000 ;Italy;7;1.96;1281;581;115;335;1326;62;1062
8;29th October 1989 ;Slovenia;5;1.77;1513;1877;7854;5542;163;7904;2860
9;1st July 1999 ;United States;9;1.90;1466;781;1892;494;113;1468;1045
10;5th August 1998 ;Portugal;3;1.78;1100;431;4204;2410;47;3895;1100
11;7th August 1992 ;Great Britain;8;1.73;1342;2349;6944;1213;150;7130;1968
12;10th December 1996 ;Denmark;8;1.75;1702;320;4836;1964;34;4240;1461
13;16th March 2002 ;Belgium;8;1.82;1406;3759;276;1;1570;119;1472
14;25th November 1995 ;Australia;7;1.88;1695;741;3377;596;46;3008;874
15;2nd February 2001 ;Spain;7;1.83;1279;496;2293;423;14;2271;502
16;16th September 2002 ;Spain;5;1.83;1236;1082;1865;1143;2;1954;765
17;30th July 1999 ;Great Britain;8;1.70;1053;2494;1141;137;370;1786;1632
18;7th January 1995 ;Spain;1;1.77;1283;988;4545;666;67;5504;1328
19;18th December 1995 ;Denmark;0;1.80;1467;3862;1507;1697;2762;368;2814
20;30th October 1992 ;Belgium;6;1.88;1485;3743;114;3;4695;4;462
21;13th December 1989 ;Spain;1;1.72;1074;1017;6261;298;118;7040;1183
22;15th September 1994 ;Belgium;8;1.90;1428;7232;1171;3014;1894;2044;4313
23;13th October 2002 ;Great Britain;2;1.73;938;168;1255;127;5;770;661
24;16th January 1993 ;Denmark;8;1.84;831;1477;1453;825;2010;1140;2594
25;25th July 1996 ;Italy;3;1.93;684;779;981;5698;302;298;1004
26;25th February 1990 ;Spain;0;1.74;874;1605;4726;1123;450;4848;2140
27;24th June 2001 ;Italy;2;1.82;868;158;1107;776;2;994;638
28;29th May 1993 ;Ecuador;2;1.70;1118;1262;3750;551;189;4450;1534
