Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,131,,Classic,PEDERSEN Mads Lidl - Trek,28,Lidl - Trek,500,225,5:36:00
2,11,,Classic,VAN DER POEL Mathieu Alpecin - Deceuninck,29,Alpecin - Deceuninck,400,150,",,0:00"
3,71,,Classic,MEEUS Jordi BORA - hansgrohe,25,BORA - hansgrohe,325,110,0:160:16
4,12,,Sprint,PHILIPSEN Jasper Alpecin - Deceuninck,26,Alpecin - Deceuninck,275,90,",,0:16"
5,136,,Sprint,MILAN Jonathan Lidl - Trek,23,Lidl - Trek,225,80,",,0:16"
6,2,,Sprint,KOOIJ Olav Team Visma | Lease a Bike,22,Team Visma | Lease a Bike,175,70,",,0:16"
7,21,,Classic,GIRMAY Biniam Intermarché - Wanty,23,Intermarché - Wanty,150,60,",,0:16"
8,31,,Sprint,MERLIER Tim Soudal Quick-Step,31,Soudal Quick-Step,125,50,",,0:16"
9,163,,Sprint,GROENEWEGEN Dylan Team Jayco AlUla,30,Team Jayco AlUla,100,46,",,0:16"
10,241,,Classic,TRENTIN Matteo Tudor Pro Cycling Team,34,Tudor Pro Cycling Team,85,42,",,0:16"
