Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,15,,Classic,HIRSCHI Marc UAE Team Emirates,25,UAE Team Emirates,400,225,5:46:12
2,1,,Classic,ALAPHILIPPE Julian Soudal Quick-Step,32,Soudal Quick-Step,320,150,",,0:00"
3,125,,Climber,VAN EETVELT Lennert Lotto Dstny,23,Lotto Dstny,260,110,0:070:07
4,77,,GC,VERMAERKE Kevin Team dsm-firmenich PostNL,23,Team dsm-firmenich PostNL,220,90,0:170:17
5,224,,Hills,NARVÁEZ Jhonatan INEOS Grenadiers,27,INEOS Grenadiers,180,80,0:250:25
6,24,,Classic,POWLESS Neilson EF Education - EasyPost,27,EF Education - EasyPost,140,70,",,0:25"
7,86,,Climber,KONRAD Patrick Lidl - Trek,32,Lidl - Trek,120,60,",,0:25"
8,137,,Climber,WOODS Michael Israel - Premier Tech,37,Israel - Premier Tech,100,50,",,0:25"
9,14,,Classic,CHRISTEN Jan UAE Team Emirates,20,UAE Team Emirates,80,46,0:360:36
10,17,,GC,MCNULTY Brandon UAE Team Emirates,26,UAE Team Emirates,68,42,0:370:37
