Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,21,,Classic,PIDCOCK Thomas INEOS Grenadiers,24,INEOS Grenadiers,500,225,5:58:17
2,6,,Classic,HIRSCHI Marc UAE Team Emirates,25,UAE Team Emirates,400,150,",,0:00"
3,41,,Classic,BENOOT Tiesj Team Visma | Lease a Bike,30,Team Visma | Lease a Bike,325,110,",,0:00"
4,52,,Climber,VANSEVENANT Mauri Soudal Quick-Step,24,Soudal Quick-Step,275,90,",,0:00"
5,124,,Classic,LAPEIRA Paul Decathlon AG2R La Mondiale Team,23,Decathlon AG2R La Mondiale Team,225,80,",,0:00"
6,141,,Classic,MADOUAS Valentin Groupama - FDJ,27,Groupama - FDJ,175,70,",,0:00"
7,113,,Climber,MOLLEMA Bauke Lidl - Trek,37,Lidl - Trek,150,60,",,0:00"
8,145,,Hills,PACHER Quentin Groupama - FDJ,32,Groupama - FDJ,125,50,",,0:00"
9,151,,Climber,BILBAO Pello Bahrain - Victorious,34,Bahrain - Victorious,100,46,",,0:00"
10,91,,Classic,MATTHEWS Michael Team Jayco AlUla,33,Team Jayco AlUla,85,42,0:110:11
