Rnk,GC,Timelag,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,,Time
1,138,+5:46:04,135,,Sprint,MERLIER Tim Soudal Quick-Step,31,Soudal Quick-Step,180,80,,2:51:50
2,118,+5:18:49,111,,Sprint,MILAN Jonathan Lidl - Trek,23,Lidl - Trek,130,50,,",,0:00"
3,91,+4:18:38,11,,Hills,GROVES Kaden Alpecin - Deceuninck,25,Alpecin - Deceuninck,95,35,,",,0:00"
4,137,+5:42:54,124,,Sprint,GAVIRIA Fernando Movistar Team,29,Movistar Team,80,25,,",,0:00"
5,105,+4:43:29,178,,TT,VAN DIJKE Tim Team Visma | Lease a Bike,24,Team Visma | Lease a Bike,60,18,,",,0:00"
6,129,+5:30:35,52,,Sprint,ANIOŁKOWSKI Stanisław Cofidis,27,Cofidis,45,15,,",,0:00"
7,116,+5:14:20,182,,Sprint,DAINESE Alberto Tudor Pro Cycling Team,26,Tudor Pro Cycling Team,40,12,,",,0:00"
8,128,+5:29:14,164,,Sprint,LONARDI Giovanni Team Polti Kometa,27,Team Polti Kometa,35,10,,",,0:00"
9,120,+5:20:01,153,,Sprint,EWAN Caleb Team Jayco AlUla,29,Team Jayco AlUla,30,8,,",,0:00"
10,119,+5:19:38,25,,Classic,GRONDIN Donavan Arkéa - B&B Hotels,23,Arkéa - B&B Hotels,25,6,,",,0:00"
