Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,1,,Climber,POGAČAR Tadej UAE Team Emirates,26,UAE Team Emirates,800,275,6:04:58
2,171,,GC,EVENEPOEL Remco Soudal Quick-Step,24,Soudal Quick-Step,640,200,3:163:16
3,135,,Climber,CICCONE Giulio Lidl - Trek,29,Lidl - Trek,520,150,4:314:31
4,55,,GC,IZAGIRRE Ion Cofidis,35,Cofidis,440,120,4:344:34
5,151,,Climber,MAS Enric Movistar Team,29,Movistar Team,360,100,",,4:34"
6,6,,GC,SIVAKOV Pavel UAE Team Emirates,27,UAE Team Emirates,280,90,",,4:34"
7,144,,Climber,VAN EETVELT Lennert Lotto Dstny,23,Lotto Dstny,240,80,",,4:34"
8,84,,Classic,POWLESS Neilson EF Education - EasyPost,28,EF Education - EasyPost,200,70,4:584:58
9,91,,Climber,GAUDU David Groupama - FDJ,28,Groupama - FDJ,160,60,",,4:58"
10,17,,GC,MEURISSE Xandro   Alpecin - Deceuninck,32,Alpecin - Deceuninck,135,50,",,4:58"
