Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,37,,GC,WILLIAMS Stephen Israel - Premier Tech,27,Israel - Premier Tech,400,225,4:40:24
2,81,,GC,VAUQUELIN Kévin Arkéa - B&B Hotels,22,Arkéa - B&B Hotels,320,150,",,0:00"
3,61,,Classic,VAN GILS Maxim Lotto Dstny,24,Lotto Dstny,260,110,0:030:03
4,191,,Classic,COSNEFROY Benoît Decathlon AG2R La Mondiale Team,28,Decathlon AG2R La Mondiale Team,220,90,",,0:03"
5,103,,Climber,BUITRAGO Santiago Bahrain - Victorious,24,Bahrain - Victorious,180,80,",,0:03"
6,111,,Climber,JOHANNESSEN Tobias Halland Uno-X Mobility,24,Uno-X Mobility,140,70,0:100:10
7,163,,Classic,GRÉGOIRE Romain Groupama - FDJ,21,Groupama - FDJ,120,60,",,0:10"
8,193,,Hills,GODON Dorian Decathlon AG2R La Mondiale Team,27,Decathlon AG2R La Mondiale Team,100,50,",,0:10"
9,51,,Classic,BENOOT Tiesj Team Visma | Lease a Bike,30,Team Visma | Lease a Bike,80,46,",,0:10"
10,46,,Climber,MARTIN Guillaume Cofidis,30,Cofidis,68,42,",,0:10"
