Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,101,,Climber,POGAČAR Tadej UAE Team Emirates,25,UAE Team Emirates,800,275,6:13:48
2,131,,Climber,BARDET Romain Team dsm-firmenich PostNL,33,Team dsm-firmenich PostNL,640,200,1:391:39
3,31,,Classic,VAN DER POEL Mathieu Alpecin - Deceuninck,29,Alpecin - Deceuninck,520,150,2:022:02
4,111,,Classic,VAN GILS Maxim Lotto Dstny,24,Lotto Dstny,440,120,",,2:02"
5,146,,GC,PARET-PEINTRE Aurélien Decathlon AG2R La Mondiale Team,28,Decathlon AG2R La Mondiale Team,360,100,",,2:02"
6,6,,Climber,VANSEVENANT Mauri Soudal Quick-Step,24,Soudal Quick-Step,280,90,",,2:02"
7,54,,Classic,MADOUAS Valentin Groupama - FDJ,27,Groupama - FDJ,240,80,",,2:02"
8,151,,GC,LUTSENKO Alexey Astana Qazaqstan Team,31,Astana Qazaqstan Team,200,70,",,2:02"
9,23,,Climber,BILBAO Pello Bahrain - Victorious,34,Bahrain - Victorious,160,60,",,2:02"
10,11,,Classic,PIDCOCK Thomas INEOS Grenadiers,24,INEOS Grenadiers,135,50,",,2:02"
