Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,6,,Sprint,PHILIPSEN Jasper Alpecin - Deceuninck,26,Alpecin - Deceuninck,800,275,6:14:44
2,171,,Classic,MATTHEWS Michael Team Jayco AlUla,33,Team Jayco AlUla,640,200,",,0:00"
3,211,,Climber,POGAČAR Tadej UAE Team Emirates,25,UAE Team Emirates,520,150,",,0:00"
4,121,,Classic,PEDERSEN Mads Lidl - Trek,28,Lidl - Trek,440,120,",,0:00"
5,71,,Classic,BETTIOL Alberto EF Education - EasyPost,30,EF Education - EasyPost,360,100,",,0:00"
6,241,,Classic,MOHORIČ Matej Bahrain - Victorious,29,Bahrain - Victorious,280,90,",,0:00"
7,131,,Classic,VAN GILS Maxim Lotto Dstny,24,Lotto Dstny,240,80,",,0:00"
8,127,,Classic,STUYVEN Jasper Lidl - Trek,31,Lidl - Trek,200,70,",,0:00"
9,151,,Classic,ALAPHILIPPE Julian Soudal Quick-Step,31,Soudal Quick-Step,160,60,",,0:00"
10,1,,Classic,VAN DER POEL Mathieu Alpecin - Deceuninck,29,Alpecin - Deceuninck,135,50,",,0:00"
