Rnk,GC,Timelag,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,,Time
1,2,+0:30,21,,GC,EVENEPOEL Remco Soudal Quick-Step,24,Soudal Quick-Step,60,50,,2:50:03
2,1,+0:00,41,,GC,JORGENSON Matteo Team Visma | Lease a Bike,24,Team Visma | Lease a Bike,40,30,,",,0:00"
3,5,+2:57,7,,Climber,VLASOV Aleksandr BORA - hansgrohe,27,BORA - hansgrohe,30,18,,0:500:50
4,4,+2:22,66,,GC,SKJELMOSE Mattias Lidl - Trek,23,Lidl - Trek,25,13,,1:391:39
5,3,+1:47,34,,GC,MCNULTY Brandon UAE Team Emirates,25,UAE Team Emirates,20,10,,",,1:39"
6,32,+50:10,142,,Hills,BATTISTELLA Samuele Astana Qazaqstan Team,25,Astana Qazaqstan Team,15,7,,2:132:13
7,35,+51:51,211,,GC,STORER Michael Tudor Pro Cycling Team,27,Tudor Pro Cycling Team,10,4,,",,2:13"
8,9,+4:35,71,,Climber,GALL Felix Decathlon AG2R La Mondiale Team,26,Decathlon AG2R La Mondiale Team,8,3,,",,2:13"
9,7,+4:03,51,,GC,BERNAL Egan INEOS Grenadiers,27,INEOS Grenadiers,5,2,,",,2:13"
10,6,+3:08,86,,GC,PLAPP Luke Team Jayco AlUla,23,Team Jayco AlUla,2,1,,",,2:13"
