Rnk,GC,Timelag,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,,Time
1,94,+48:30,135,,Sprint,MILAN Jonathan Lidl - Trek,23,Lidl - Trek,60,50,,3:15:51
2,99,+50:07,221,,Classic,KRISTOFF Alexander Uno-X Mobility,36,Uno-X Mobility,40,30,,",,0:00"
3,123,+1:03:41,142,,Hills,CIMOLAI Davide Movistar Team,34,Movistar Team,30,18,,",,0:00"
4,81,+42:39,11,,Sprint,PHILIPSEN Jasper Alpecin - Deceuninck,26,Alpecin - Deceuninck,25,13,,",,0:00"
5,122,+1:03:25,52,,Sprint,ANIOŁKOWSKI Stanisław Cofidis,27,Cofidis,20,10,,",,0:00"
6,93,+48:14,22,,Classic,CAPIOT Amaury Arkéa - B&B Hotels,30,Arkéa - B&B Hotels,15,7,,",,0:00"
7,55,+31:32,76,,Hills,VENDRAME Andrea Decathlon AG2R La Mondiale Team,29,Decathlon AG2R La Mondiale Team,10,4,,",,0:00"
8,91,+48:08,185,,Sprint,LONARDI Giovanni Team Polti Kometa,27,Team Polti Kometa,8,3,,",,0:00"
9,67,+37:07,27,,Hills,VENTURINI Clément Arkéa - B&B Hotels,30,Arkéa - B&B Hotels,5,2,,",,0:00"
10,117,+1:00:44,236,,Sprint,ZANONCELLO Enrico VF Group - Bardiani CSF - Faizanè,26,VF Group - Bardiani CSF - Faizanè,2,1,,",,0:00"
