Rnk,GC,Timelag,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,,Time
1,1,+0:00,1,,Climber,POGAČAR Tadej UAE Team Emirates,25,UAE Team Emirates,50,50,,3:15:23
2,78,+1:04:34,151,,Hills,GODON Dorian Decathlon AG2R La Mondiale Team,27,Decathlon AG2R La Mondiale Team,30,30,,",,0:00"
3,26,+17:17,131,,Climber,MARTIN Guillaume Cofidis,30,Cofidis,25,18,,",,0:00"
4,52,+44:15,192,,GC,WILLIAMS Stephen Israel - Premier Tech,27,Israel - Premier Tech,20,13,,",,0:00"
5,40,+34:49,41,,Climber,KONRAD Patrick Lidl - Trek,32,Lidl - Trek,15,10,,",,0:00"
6,33,+27:42,82,,Climber,HIGUITA Sergio BORA - hansgrohe,26,BORA - hansgrohe,10,7,,",,0:00"
7,76,+1:03:50,213,,Hills,GONZÁLEZ David Caja Rural - Seguros RGA,28,Caja Rural - Seguros RGA,8,4,,",,0:00"
8,8,+6:33,55,,GC,TIBERI Antonio Bahrain - Victorious,22,Bahrain - Victorious,6,3,,",,0:00"
9,4,+5:56,81,,Climber,VLASOV Aleksandr BORA - hansgrohe,27,BORA - hansgrohe,3,2,,",,0:00"
10,11,+7:41,52,,GC,POELS Wout Bahrain - Victorious,36,Bahrain - Victorious,1,1,,",,0:00"
