Rnk,GC,Timelag,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,,Time,Avg
1,39,+2:01:27,105,,TT,KÜNG Stefan Groupama - FDJ,30,Groupama - FDJ,180,80,,0:26:28,55.768
2,1,+0:00,61,,GC,ROGLIČ Primož Red Bull - BORA - hansgrohe,34,Red Bull - BORA - hansgrohe,130,50,,0:310:31,54.7
3,23,+1:13:28,33,,TT,CATTANEO Mattia Soudal Quick-Step,33,Soudal Quick-Step,95,35,,0:420:42,54.331
4,66,+3:06:20,12,,Classic,BARONCINI Filippo UAE Team Emirates,24,UAE Team Emirates,80,25,,0:430:43,54.298
5,71,+3:10:41,146,,GC,SCHMID Mauro Team Jayco AlUla,24,Team Jayco AlUla,60,18,,0:460:46,54.198
6,61,+2:51:36,46,,TT,VACEK Mathias Lidl - Trek,22,Lidl - Trek,45,15,,0:520:52,54
7,111,+4:19:08,92,,TT,CAMPENAERTS Victor Lotto Dstny,32,Lotto Dstny,40,12,,0:540:54,53.934
8,5,+5:49,41,,GC,SKJELMOSE Mattias Lidl - Trek,23,Lidl - Trek,35,10,,1:021:02,53.673
9,78,+3:27:12,116,,Hills,SWEENY Harry EF Education - EasyPost,26,EF Education - EasyPost,30,8,,1:031:03,53.64
10,69,+3:09:03,52,,TT,ARMIRAIL Bruno Decathlon AG2R La Mondiale Team,30,Decathlon AG2R La Mondiale Team,25,6,,",,1:03",53.64
