Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,22,,Climber,POGAČAR Tadej Slovenia,26,Slovenia,900,350,6:27:30
2,69,,GC,O'CONNOR Ben Australia,28,Australia,715,260,0:340:34
3,1,,Classic,VAN DER POEL Mathieu Netherlands,29,Netherlands,600,190,0:580:58
4,144,,Classic,SKUJIŅŠ Toms Latvia,33,Latvia,490,150,",,0:58"
5,10,,GC,EVENEPOEL Remco Belgium,24,Belgium,410,130,",,0:58"
6,75,,Classic,HIRSCHI Marc Switzerland,26,Switzerland,340,110,",,0:58"
7,124,,Classic,HEALY Ben Ireland,24,Ireland,265,100,1:001:00
8,32,,Climber,MAS Enric Spain,29,Spain,225,90,1:011:01
9,85,,Hills,SIMMONS Quinn United States,23,United States,190,80,2:182:18
10,51,,Climber,BARDET Romain France,33,France,150,70,",,2:18"
