Rank;Previous Rank;Diff;Rider;Rider link;Team;Points
1;1;-;POGAČAR Tadej;https://www.procyclingstats.com/rider/tadej-pogacar;UAE Team Emirates - XRG;4827
2;3;▲1;EVENEPOEL Remco;https://www.procyclingstats.com/rider/remco-evenepoel;Soudal Quick-Step;2244
3;4;▲1;HIRSCHI Marc;https://www.procyclingstats.com/rider/marc-hirschi;Tudor Pro Cycling Team;1997
4;2;▼2;PHILIPSEN Jasper;https://www.procyclingstats.com/rider/jasper-philipsen;Alpecin - Deceuninck;1990
5;6;▲1;VAN DER POEL Mathieu;https://www.procyclingstats.com/rider/mathieu-van-der-poel;Alpecin - Deceuninck;1965
6;7;▲1;GIRMAY Biniam;https://www.procyclingstats.com/rider/biniam-girmay;Intermarché - Wanty;1622
7;10;▲3;MILAN Jonathan;https://www.procyclingstats.com/rider/jonathan-milan;Lidl - Trek;1578
8;8;-;ROGLIČ Primož;https://www.procyclingstats.com/rider/primoz-roglic;Red Bull - BORA - hansgrohe;1549
9;11;▲2;JORGENSON Matteo;https://www.procyclingstats.com/rider/matteo-jorgenson;Team Visma | Lease a Bike;1482
10;14;▲4;ALMEIDA João;https://www.procyclingstats.com/rider/joao-almeida;UAE Team Emirates - XRG;1460
11;15;▲4;YATES Adam;https://www.procyclingstats.com/rider/adam-yates;UAE Team Emirates - XRG;1433
12;5;▼7;VINGEGAARD Jonas;https://www.procyclingstats.com/rider/jonas-vingegaard;Team Visma | Lease a Bike;1423
13;12;▼1;DE LIE Arnaud;https://www.procyclingstats.com/rider/arnaud-de-lie;Lotto;1354
14;13;▼1;O'CONNOR Ben;https://www.procyclingstats.com/rider/ben-o-connor;Team Jayco AlUla;1335
15;16;▲1;RODRÍGUEZ Carlos;https://www.procyclingstats.com/rider/carlos-rodriguez-cano;INEOS Grenadiers;1330
16;20;▲4;AYUSO Juan;https://www.procyclingstats.com/rider/juan-ayuso-pesquera;UAE Team Emirates - XRG;1329
17;18;▲1;PIDCOCK Thomas;https://www.procyclingstats.com/rider/thomas-pidcock;Q36.5 Pro Cycling Team;1307
18;17;▼1;MAS Enric;https://www.procyclingstats.com/rider/enric-mas;Movistar Team;1291
19;19;-;PEDERSEN Mads;https://www.procyclingstats.com/rider/mads-pedersen;Lidl - Trek;1261
20;9;▼11;MERLIER Tim;https://www.procyclingstats.com/rider/tim-merlier;Soudal Quick-Step;1235
21;25;▲4;LANDA Mikel;https://www.procyclingstats.com/rider/mikel-landa;Soudal Quick-Step;1173
22;23;▲1;VAN AERT Wout;https://www.procyclingstats.com/rider/wout-van-aert;Team Visma | Lease a Bike;1146
23;24;▲1;ONLEY Oscar;https://www.procyclingstats.com/rider/oscar-onley;Team Picnic PostNL;1134
24;30;▲6;CORT Magnus;https://www.procyclingstats.com/rider/magnus-cort-nielsen;Uno-X Mobility;1092
25;70;▲45;GANNA Filippo;https://www.procyclingstats.com/rider/filippo-ganna;INEOS Grenadiers;1088
26;32;▲6;BILBAO Pello;https://www.procyclingstats.com/rider/pello-bilbao;Bahrain - Victorious;1058
27;41;▲14;TIBERI Antonio;https://www.procyclingstats.com/rider/antonio-tiberi;Bahrain - Victorious;1036
28;31;▲3;CARAPAZ Richard;https://www.procyclingstats.com/rider/richard-carapaz;EF Education - EasyPost;1035
29;33;▲4;KOOIJ Olav;https://www.procyclingstats.com/rider/olav-kooij;Team Visma | Lease a Bike;1032
30;28;▼2;WELLENS Tim;https://www.procyclingstats.com/rider/tim-wellens;UAE Team Emirates - XRG;1018
31;26;▼5;VAN GILS Maxim;https://www.procyclingstats.com/rider/maxim-van-gils;Red Bull - BORA - hansgrohe;1009
32;27;▼5;ULISSI Diego;https://www.procyclingstats.com/rider/diego-ulissi;XDS Astana Team;986
33;53;▲20;SHEFFIELD Magnus;https://www.procyclingstats.com/rider/magnus-sheffield;INEOS Grenadiers;974
34;21;▼13;SKJELMOSE Mattias;https://www.procyclingstats.com/rider/mattias-skjelmose-jensen;Lidl - Trek;969
35;52;▲17;GEE Derek;https://www.procyclingstats.com/rider/derek-gee;Israel - Premier Tech;946
36;29;▼7;BUITRAGO Santiago;https://www.procyclingstats.com/rider/santiago-buitrago-sanchez;Bahrain - Victorious;946
37;22;▼15;MCNULTY Brandon;https://www.procyclingstats.com/rider/brandon-mcnulty;UAE Team Emirates - XRG;942
38;44;▲6;CICCONE Giulio;https://www.procyclingstats.com/rider/giulio-ciccone;Lidl - Trek;928
39;36;▼3;GRÉGOIRE Romain;https://www.procyclingstats.com/rider/romain-gregoire1;Groupama - FDJ;924
40;42;▲2;ARANBURU Alex;https://www.procyclingstats.com/rider/alex-aranburu;Cofidis;920
41;35;▼6;WÆRENSKJOLD Søren;https://www.procyclingstats.com/rider/soren-waerenskjold;Uno-X Mobility;906
42;38;▼4;SIVAKOV Pavel;https://www.procyclingstats.com/rider/pavel-sivakov;UAE Team Emirates - XRG;902
43;74;▲31;LIPOWITZ Florian;https://www.procyclingstats.com/rider/florian-lipowitz;Red Bull - BORA - hansgrohe;894
44;61;▲17;GROVES Kaden;https://www.procyclingstats.com/rider/kaden-groves;Alpecin - Deceuninck;890
45;40;▼5;GAUDU David;https://www.procyclingstats.com/rider/david-gaudu;Groupama - FDJ;886
46;43;▼3;NARVÁEZ Jhonatan;https://www.procyclingstats.com/rider/jhonatan-narvaez;UAE Team Emirates - XRG;872
